Display Name | Emoji Name | Emoji ID
-----------------------------------------
Supreme Chest | 'supreme_chest' | '1514006497552629760'
Boss Golden Chest | 'boss_golden_chest' | '1514006445744455872'
Boss Treasure Chest | 'boss_treasure_chest' | '1514006417789681756'
Gold Chest | 'gold_chest' | '1514006385426174102'
Silver Chest | 'silver_chest' | '1514006354027741184'
Bag | 'bag' | '1515278563434168501'
Help Icon | 'help_icon' | '1517665553261662370'
Belief Shards | 'belief_shards' | '1515278565112025128'
Combat Exp| 'combat_exp' | '1515278567095668736'
General Chest | 'general_chest' | '1515278568744161410'
General Essence | 'general_essence' | '1515278570669346927'
General Relic | 'general_relic' | '1515278572351258727'
Rune Icon | 'rune_icon' | '1518857077517189131'
Sharpness Rune | 'sharpness_rune' | '1518855827790893207'
Precision Rune | 'precision_rune' | '1518855825773559808'
Piercing Rune | 'piercing_rune' | '1518855823433007165'
Bulwark Rune | 'bulwark_rune' | '1518855821214089358'
Aegis Rune | 'aegis_rune' | '1518855819192569876'
Warding Rune | 'warding_rune' | '1518855837521678396'
Vitality Rune | 'vitality_rune' | '1518855835378516008'
Venom Rune | 'venom_rune' | '1518855833310466069'
Vampiric Rune | 'vampiric_rune' | '1518855831574024343'
Thorns Rune | 'thorns_rune' | '1518855829678194688'
Iron Buckler | 'iron_buckler' | '1514043888224960836'
Hunting Bow | 'hunting_bow' | '1514043984312537188'
Cutlass | 'cutlass' | '1514044651353407628'
Crystal Wand | 'crystal_wand' | '1514044736900694127'
Crossbow | 'crossbow' | '1514044418724990987'
Carved Totem | 'carved_totem' | '1514044805175316490'
Bone Crusher | 'bone_crusher' | '1514044855561617408'
Apprentice Staff | 'apprentice_staff' | '1514044897609515180'
Supreme Relic | 'supreme_relic' | '1514006908288368690'
Sacred Relic | 'sacred_relic' | '1514006877925806274'
Supreme Essence | 'supreme_essence' | '1514006745448452126'
Legendary Essence | 'legendary_essence' | '1514006727366803618'
Mythic Essence | 'mythic_essence' | '1514006716939763913'
Epic Essence | 'epic_essence' | '1514006695075123311'
Credux Coin | 'credux_coin' | '1514006578112757760'
Wooden Shield | 'wooden_shield' | '1514009952342114354'
Wooden Bow | 'wooden_bow' | '1514009950052028436'
War Club | 'war_club' | '1514009948240085023'
Steel Longsword | 'steel_longsword' | '1514009946084343979'
Steel Kite Shield | 'steel_kite_shield' | '1514009944326672604'
Steel Gauntlets | 'steel_gauntlets' | '1514009942330183821'
Reinforced Targe | 'reinforced_targe' | '1514009940140757253'
